objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
1065,Zhongguo yanjiu faxian,中国研究发现,Subject Guides and Bibliographies,http://guji.dahailaozhen.cn/,Zhenben Technology (珍本科技),subscription,Princeton China Studies Research Guide,Historical archive,"Previously known as Guji faxian 古籍发现 and Quanwen faxian 全文发现, this database started as a discovery service for digitized Chinese rare books, collecting information about editions from libraries in China, the United States, and Europe. Individual entries link back to the original scans hosted by the respective institutions. Clicking on 检索 without a search term allows browsing the entire database via a simplified Sibu 四库 classification with maps, gazetteers, and congshu as additional browsing categories. Currently the portal lists about 100,000 editions. More recently the database integrated material from the previous Zhongguo yanjiu wangluo ziyuan daohang 中国研究网络资源导航 and provides an easy-to-navigate overview of many free and freely registerable databases in Chinese Studies available on the Internet.",7,5/19/2026 3:34pm
1066,Sibu congkan,四部叢刊,Classical Texts,https://www.oriprobe.com/sibucongkan.shtml,Oriprobe Information Services,subscription,Princeton China Studies Research Guide,"Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Full-text","Fully searchable collection of 504 original and historical works (3,134 volumes) published by the Commercial Press in 1919–1936. The original collection used photolithography, which resulted in higher-quality editions than the then-available typeset editions. Both full-text search and page images of the authoritative editions are available. The Sibu congkan is also accessible via the Diaolong database collection.",7,5/19/2026 3:34pm
1067,Siku quanshu,四庫全書,Classical Texts,http://www.sikuquanshu.com/,Digital Heritage Publishing Ltd.,subscription,Princeton China Studies Research Guide,"Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Full-text","Electronic database published by Digital Heritage Publishing Ltd. (Hong Kong) in association with the Chinese University of Hong Kong. Contains the complete contents in full text and image of the 3,460+ titles of the Wenyuange edition of the Siku quanshu (1782), totaling over 800 million characters arranged under almost 2 million piece titles. Titles include large compilations such as the Quan Tang shi, Zi zhi tong jian, Wen xuan, Pei wen yun fu, Tai ping yu lan, and the 25 Histories. Note that the Siku quanshu editions are not always the best available or complete, as the compilation involved censorship. Features include linked dictionaries and the ability to save notebooks. The Siku quanshu is also available via the Diaolong database collection.",9,5/14/2026 11:24pm
1068,Taiwan Academic Classics,,Classical Texts,http://db1.udpweb.com.tw/tac/,United Digital Publications,subscription,Princeton China Studies Research Guide,"Taiwan,Middle Period (220–1368),Late Imperial (1368–1912),Full-text,Early China (before 220 CE)","Taiwan Academic Classics (TAC) is an interdisciplinary digital research platform from United Digital Publications that brings together over 6,600 classical texts spanning China's earliest dynasties, approximately 300 academic journals in the humanities and social sciences, and more than 100,000 dissertations in Chinese studies. The platform integrates content from leading Taiwanese academic institutions, including journals and rare materials from Academia Sinica and the National Palace Museum, searchable across two billion characters. TAC also includes the punctuated full-text edition of the Gujin tushu jicheng and the Scripta Sinica journal database.",7,5/19/2026 3:34pm
1069,Xuxiu siku quanshu,續修四庫全書,Classical Texts,http://www.diaolong.cn/,China Educational Publications Import and Export Corporation (CEPIEC),subscription,Princeton China Studies Research Guide,"Middle Period (220–1368),Late Imperial (1368–1912),Full-text","Set of 5,328 full-text searchable classical Chinese titles forming an important addition to the Siku quanshu. Based on an assessment of important works post-dating the 18th-century Siku compilation, it is arranged in the same classification scheme and is strongest in Qing material, but also includes better versions of some earlier texts. Originally published in 1,800 volumes drawn from over 80 Chinese libraries. The database allows comparison of OCR text with original page images. Available as part of the Diaolong database collection; note that the Xuxiu Siku quanshu content appears as 'Siku fenlei shu 四庫分類書' in the Fanyun wenxian 繃雲文獻 alternative portal.",8,5/19/2026 3:34pm
1070,Zhongguo jiben guji ku,中國基本古籍庫,Classical Texts,https://www.wenzibase.com/,Erudition (Airusheng),subscription,Princeton China Studies Research Guide,"Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Full-text","One of the Erudition (Airusheng) classical text databases, containing approximately 10,000 traditional titles (plus 4,500 additional editions of the same titles) covering a wide variety of subjects from many historical periods—from the pre-Qin era through the Republican period. Full-text searchable with page images available for comparison. It has become the most widely used classical Chinese text database in the PRC. Note that OCR character conversion errors can occur; consulting image-based texts may be necessary. To access, select 'Ancient Classics' from the platform landing page, then choose the database and click 'jinru' (enter).",9,5/14/2026 11:24pm
1071,Zhongguo suwen ku,中國俗文庫,Classical Texts,https://www.wenzibase.com,Erudition (Airusheng),subscription,Princeton China Studies Research Guide,"Dunhuang,Literature,Full-text,Middle Period (220–1368),Late Imperial (1368–1912),Popular media","When complete, this database will contain more than 10,000 pieces of Chinese popular literature across various genres—including bianwen, baojuan, shanshu, huaben, zhanghui xiaoshuo, zaju, chuanqi, zhugongdiao, and guci—all in full-text format alongside images of the original source pages (including manuscript fragments from Dunhuang). Each genre can be searched independently. Published by Erudition (Airusheng).",8,5/19/2026 8:35pm
1072,Zhonghua jingdian guji ku,中華經典古籍庫,Classical Texts,https://guji.zhbc.com.cn,Zhonghua Shuju,subscription,Princeton China Studies Research Guide,"Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Literature,Biography,Philosophy,Full-text","The Zhonghua Classics Database contains the standard punctuated versions of many important Chinese classical texts in philosophy, history, and literature (including biji), as published by Zhonghua Shuju and other major punctuated-edition publishers. The database also includes the 360-volume Quan Song Wen 《全宋文》 as e-books. In addition to browsing titles in full, the database has been optimized for simultaneous searching of character variants (defaults adjustable in advanced search), with especially useful tools for searching variants of biographical data and place names. Dictionary and chronology-converter functions are embedded and activate automatically when a character is selected in the main text. Access is via IP authentication; no individual registration is needed for basic reading and searching. For additional features—copying text (maximum 200 characters at a time via the pop-up copy function), making notes, submitting corrections, and saving searches—individual account registration using an email address is required. The original printed text is available for comparison by clicking the orange page numbers in the running text. Downloading is not possible. Works well with Chrome; some page-image display issues have been noted with Firefox.",9,5/14/2026 11:35pm
1073,Grand Ricci Online,Le Grand Ricci,Dictionaries,https://chinesereferenceshelf.brillonline.com/grand-ricci,Institut Ricci,subscription,Princeton China Studies Research Guide,"Medicine,Religion,Full-text,Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912)","Le Grand Ricci is to all purposes the most comprehensive bilingual dictionary of Chinese (into French) in the Western world. It covers three millennia of the Chinese language, from the Classics to the modern age, and is encyclopedic in its scope. The compilers were able to draw on the full range of French sinological expertise in completing the project, and has paid especially attention to specialized terms in a wide variety of fields (religion, medicine etc.) It contains 13,392 main entries (single characters) and 280,000 expressions (or Chinese words composed of a set of characters). Entries can be looked up by Chinese character, by romanization (pinyin), by radical and strokes, and by the total number of strokes.",9,5/19/2026 4:21pm
1074,Ricci Dictionary of Chinese Law,,Dictionaries,https://chinesereferenceshelf.brillonline.com/chinese-law,Brill,subscription,Princeton China Studies Research Guide,"Law,Full-text,Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912)","Trilingual (Chinese, English, French) dictionary on Chinese law with approximately 24,000 legal terms. Includes ancient law. Part of BrillOnline Chinese reference library. Has separate versions in Traditional and Simplified Chinese characters.",8,5/19/2026 4:21pm
1075,Thesaurus Linguae Sericae (TLS),漢學文典,Dictionaries,http://tls.uni-hd.de/,Heidelberg University,open access,Princeton China Studies Research Guide,"Full-text,Digital humanities,Early China (before 220 CE)","The Thesaurus Linguae Sericae (TLS) is an historical and comparative encyclopaedia of Chinese conceptual schemes, designed as a collaborative forum for the close reading of Chinese texts in cross-cultural conceptual history. It provides a corpus of classical Chinese texts—wherever possible with interlinear translations—linked to an analytic dictionary of the Chinese language. The Thesaurus was founded by Christoph Harbsmeier (University of Oslo) and is developed in cooperation with the Center for Informatics in East-Asian Studies (Kyoto University). It is hosted by the Heidelberg Centre for Transcultural Studies (HCTS) at Heidelberg University.",8,5/19/2026 4:21pm
1076,Chinese Doctor and Master Dissertations / CNKI,博硕士学位论文 / 中国知网,Dissertations and Theses,https://oversea.cnki.net/,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Full-text,Secondary sources,Contemporary (post-1978)",Selected dissertations and theses from the PRC in all subject areas. Due to Chinese government intervention access is currently limited to Humanities subjects only.,7,5/19/2026 4:21pm
1077,Chinese Electronic Theses and Dissertations (airiti library),,Dissertations and Theses,https://www.airitilibrary.com/,Airiti Inc.,subscription,Princeton China Studies Research Guide,"Taiwan,Hong Kong,Full-text,Secondary sources","Selected dissertations and theses from various universities in Taiwan, as well as Hong Kong University, are available in this database. Starting dates vary; HKU starts in 1990, other institutions in the 2000s. The database has moved into the general AiritiLibrary platform, which also includes Taiwanese periodical literature. To retrieve theses specifically, searches should be limited to 'CETD'. Includes more dissertations than the free National Digital Library of Theses and Dissertations in Taiwan (NCL).",7,5/19/2026 4:21pm
1078,Dissertation Abstracts (ProQuest Dissertations & Theses: Full Text),,Dissertations and Theses,https://www.proquest.com/,ProQuest,subscription,Princeton China Studies Research Guide,"Full-text,Secondary sources","Access to citations and abstracts for every title in the Dissertation Abstracts database, including those on East Asia. Dissertations written from 1997 forward are available full text; many earlier ones as well. The database includes citations to dissertations from 1861 to those accepted last semester. Citations for dissertations and master’s theses published from 1980 forward have abstracts.",7,5/19/2026 4:21pm
1079,Wanfang xuewei lunwen,万方学位论文,Dissertations and Theses,http://www.wanfangdata.com.cn/,"Wanfang Data Co., Ltd.",subscription,Princeton China Studies Research Guide,"Full-text,Secondary sources,Contemporary (post-1978)","Wanfang’s Dissertations and theses database. This database includes more than 2 million dissertations and theses, and hence is much larger than the history and literature (doctoral) dissertations and (master) theses parts of the CNKI equivalent previously available. Note that you can narrow down your results not only by using the topical and chronological facets, but also by typing within the tab-looking grey boxes on top of your results: e.g., by typing 北京大学 in the 学校 box. As with all Wanfang databases, once on the Wanfang home page, you can move from database to database via tabs. The “xue shu lun wen” tab combines several databases into one mega-search, and you can also combine searches across databases using the advanced search option.",7,5/19/2026 4:21pm
1080,Cambridge Histories Online,,E-books (Contemporary),https://www.cambridge.org/core/series/cambridge-histories-online/,Cambridge University Press,subscription,Princeton China Studies Research Guide,"Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Republican era (1912–1949),Full-text,Secondary sources","This database contains full-text searching of all Cambridge Histories, usually with up to a year delay after the print publication. You can search in all or specific titles, and download individual chapters as needed. The Cambridge history of China, The Cambridge history of Japan, and The Cambridge history of ancient China are included.",8,5/19/2026 8:35pm
1081,iRead eBooks,華藝中文電子書,E-books (Contemporary),https://www.airitilibrary.com/,Airiti Inc.,subscription,Princeton China Studies Research Guide,"Taiwan,Full-text,Secondary sources","iRead eBooks (華藝中文電子書) is Taiwan's largest Chinese-language e-book platform, published by Airiti Inc. It provides access to over 80,000 e-book titles in Traditional Chinese from approximately 3,000 publishers, covering philosophy, religion, natural sciences, social sciences, history, geography, literature, and the arts. The platform supports full-text search across the collection and is accessible via the Airiti Library interface, integrating Chinese academic e-books with other Airiti scholarly resources.",7,5/19/2026 4:21pm
1082,Open Books Hong Kong,開讀,E-books (Contemporary),https://openbookshongkong.com/en/,Open Books Hong Kong,open access,Princeton China Studies Research Guide,"Hong Kong,Full-text,Secondary sources","Open Books Hong Kong is an open access initiative of the university presses of The Chinese University of Hong Kong, City University of Hong Kong, and The University of Hong Kong. A selection of peer-reviewed scholarly books published by these three university presses is made freely available to the public. Works focus on humanities and social sciences, primarily in Chinese, authored by Hong Kong and international scholars. New titles are released quarterly. All titles are licensed under CC BY-NC-ND 4.0.",7,5/19/2026 4:21pm
1083,Books of Modern China (1840-1949),中国近代图书库 (1840-1949),E-books (Republican),http://www.modernchina.cn/,Shanghai Library,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Literature,Biography,Full-text,Historical archive,Translation","Collection of 120,000 late Qing and Republican e-books from Shanghai Library including many rare titles. Books are full-text searchable. Database includes author biographies, and cross-references to other Shanghai Library databases (especially for late Qing and Republican journals and newspapers). Especially interesting for literature and cross-cultural studies. Download of single pages is possible. Database clusters similar titles which is especially useful for research on the history of translation of Western literature or scientific knowledge. The database is part of Shanghai Library’s Quanguo baokan suoyin 全国报刊索引.",9,5/19/2026 8:35pm
1084,China: Culture and Society,,Archival Material,https://www.chinacultureandsociety.amdigital.co.uk,Adam Matthew Digital,subscription,Princeton China Studies Research Guide,"Global China,Late Imperial (1368–1912),Republican era (1912–1949),Missionaries,Medicine,International relations,Diaspora,Full-text,Colonialism","China: Culture and Society is a full-text searchable database of the often colorful pamphlets held in the Wason Collection of Cornell University, written mostly in English and published between c. 1750 and 1929. Types of material in the collection include addresses and speeches, annual reports, catalogues, examinations, guides, lecture notes, letters, magazine articles, minutes, etc. Some possible themes to be explored are: the arts, the Chinese diaspora, education, the foreign presence in China, foreign relations and diplomacy, governance, international conflict, language and literature, leisure, missionaries, opium, rebellion and revolution, science and medicine, trade, and travel and exploration.",8,5/19/2026 8:35pm
1085,Fudan University Humanities Data Platform,复旦大学人文数据平台,E-books (Republican),https://rwsjpt.fudan.edu.cn/,Fudan University,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Local history,Full-text,Historical archive","The Fudan University Humanities Data Platform provides access to over 170,000 Republican-era e-books and more than 10,000 historical local gazetteers. Access requires creating a personal account and selecting an institutional affiliation, or alternatively using a CADAL (China Academic Digital Associative Library) account.",8,5/19/2026 8:35pm
1086,"Series of Geography, History and Customs of Manchuria-Mongolia DB",,E-books (Republican),https://db.mkstudy.com/en/mksdb/e/manchuria-mongolia/p/,Manchuria-Mongolia Database Project,subscription,Princeton China Studies Research Guide,"Inner Asia,Manchuria,Late Imperial (1368–1912),Republican era (1912–1949),Full-text,Colonialism","A collection of 200 volumes on geography, history and customs of Manchuria and Mongolia between late Chosen and 1945 published by Governor-General of Korea. Includes original text images in Japanese (searchable).",7,5/19/2026 8:35pm
1087,Encyclopedia of Taiwan Studies Online,,Encyclopedias,https://referenceworks.brillonline.com/browse/encyclopedia-of-taiwan-studies,Brill,subscription,Princeton China Studies Research Guide,"Taiwan,Full-text","Online encyclopedia in the Brill Chinese Reference Works series covering archaeology, history, linguistics, anthropology, sociology, political science, international relations, Indigenous studies, literature, gender studies, media, music, and art of Taiwan. Contains approximately 600 entries of 1,000–5,000 words each, authored by more than 300 scholars worldwide.",8,5/19/2026 4:21pm
1088,Handbook of Formosan Languages Online: The Indigenous Languages of Taiwan,,Encyclopedias,https://referenceworks.brillonline.com/browse/handbook-of-formosan-languages-online,Brill,subscription,Princeton China Studies Research Guide,"Taiwan,Ethnic minorities,Full-text","The Handbook of Formosan Languages provides a systematic coverage of the aboriginal languages of Taiwan and of the many ways in which they have been studied. It contains reference articles as well as grammar sketches of a wide-range of Formosan languages, including a few extinct languages. The handbook includes bibliographical references and indices and is illustrated with tables and maps.",8,5/19/2026 4:21pm
1089,China Art Digital Library,,Images,https://cadt.oversea.cnki.net,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Art and Architecture,Full-text","China Art Digital Library (中国艺术图书馆) is a CNKI-hosted image database containing over 780,000 art images drawn from more than 400 albums, museum catalogs, and exhibition publications. The collection spans traditional and modern Chinese art, including painting, calligraphy, sculpture, and decorative arts. Images can be searched by artist, medium, period, or exhibition, and results can be browsed alongside catalog descriptions.",7,5/19/2026 8:35pm
1090,National Palace Museum Open Data,,Images,https://theme.npm.edu.tw/opendata/,National Palace Museum (Taiwan),open access,Princeton China Studies Research Guide,"Taiwan,Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Art and Architecture,Historical archive","This database gives free access to high-resolution images and related description articles of art pieces (painting, documents, calligraphy, ceramics, jades, curios, rare books and bronzes) in the (Taiwan) NPM collections. Descriptions can be viewed in Traditional  Chinese and English. One can search by category, dynasty, gallery and multimedia (video or 3D Digital).",9,5/19/2026 4:21pm
1091,National Palace Museum Collections,國立故宮博物院. 典藏資源,Images,https://digitalarchive.npm.gov.tw,National Palace Museum (Taiwan),open access,Princeton China Studies Research Guide,"Taiwan,Early China (before 220 CE),Middle Period (220–1368),Late Imperial (1368–1912),Art and Architecture,Historical archive,Genealogy","Portal to a range of free databases offered by the National Palace Museum (Taiwan), including specialized collections on bronzes, paintings, calligraphy, rare books, decorative motifs, genealogical documents, and Qing dynasty documents.",8,5/19/2026 8:35pm
1092,Picture Gallery of Chinese Modern Literature (1833-1949),,Images,http://www.chineseliterature.cn/,Shanghai Library,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Literature,Art and Architecture,Popular media,Historical archive","Collection of more than 1 Mio. images extracted from late Qing and Republican books, newspapers and journals and organized in sixteen categories including: Photography, Painting, Calligraphy, Woodcut, Manuscripts, Comics, Maps, Sculptures, Musical Scores, and Epigraphy.",8,5/19/2026 4:21pm
1093,Foreign Law Guide,,Legal sources,https://www.foreignlawguide.com/,Columbia University Law Library,subscription,Princeton China Studies Research Guide,Law,Bibliography of sources of foreign law organized by country. Each entry contains a brief description of the country's legal system with citations to primary sources of law both in print and electronic versions when available. At the end of each entry is a list of subject headings with citations to the relevant laws or statutes.,7,5/19/2026 8:35pm
1094,Lawinfochina/Chinalawinfo/Chinese Case Studies,北大法寳,Legal sources,http://www.lawinfochina.com/,Peking University Center for Legal Information,subscription,Princeton China Studies Research Guide,"Law,Full-text,Contemporary (post-1978),Early PRC (1949–1966)",Lawinfochina and Chinalawinfo are companion legal retrieval systems for the PRC: Lawinfochina provides the English interface and content; Chinalawinfo provides Chinese. Both are accessible from the same platform and link to each other. Included are: all laws adopted by the National People's Congress and its Standing Committee from 1949; all administrative regulations promulgated by the State Council from 1949; rules and orders from other agencies; important judicial interpretations and regulations impacting foreign-related activities; judicial cases from the Gazette of the Supreme People's Court (also in English); Sino-foreign tax treaties; and other legal news. The platform also includes a Chinese case studies database within Chinalawinfo.,8,5/19/2026 8:35pm
1095,China Yearbooks (CYFD CNKI),中国年鉴网络出版总库,Statistics and Data,https://oversea.cnki.net/index/products/CYFD/,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Contemporary (post-1978),Full-text","China Yearbooks Full-text Database (中国年鉴网络出版总库, CYFD) is the largest yearbook database in China, providing full-text access to over 5,200 national, provincial, regional, local, and industry-specific yearbooks published by authoritative sources including national ministries, professional publishing houses, and local governments. Coverage focuses on the post-1978 period, with some titles extending back further. Entries are indexed down to individual tables, charts, and images, making it possible to locate specific statistical or descriptive passages without reading entire volumes.",7,5/19/2026 8:35pm
1096,Wanfang xin fangzhi,万方新方志,Local Gazetteers (Contemporary),http://www.wanfangdata.com.cn/,"Wanfang Data Co., Ltd.",subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Contemporary (post-1978),Local history,Full-text","Wanfang’s New Local Gazetteers database. This database searches full-text versions of new (i.e., post-1949) local gazetteers, which are also browsable by region or topic. Pages are readable and downloadable in pdf form in some 6 million small parts by navigating through the Table of Contents ( mulu ), by clicking on “ chakan yuanwen ” (read original excerpt) or “ xiazai yuanwen ” (download original excerpt). You can also read through the complete gazetteers on line, by clicking on “ zhengben yuedu ”  (reading full volume). More advanced searching (Boolean searching, fuzzy searching) is available, and you can narrow down results by using facets or adding refinements to your search (and clicking “search within results.”) As with all Wanfang databases, once on the Wanfang home page, you can move from database to database via tabs.  The tab for the New Local Gazetteers, is somewhat hidden though; it is listed only on the very upper menu, under the “More…” ( geng duo ) category.",8,5/19/2026 8:35pm
1097,China Comprehensive Gazetteers,中國綜合方志庫,Local Gazetteers (Historical),https://www.eastview.com/resources/e-collections/china-comprehensive-gazetteers/,National Library of China,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Economy,Biography,Local history,Religion,Full-text","This China Comprehensive Gazetteers database has been produced in conjunction with the National Library of China. It includes 7,000  Chinese local gazetteers spanning eight centuries 1229-1949. Chinese gazetteers are a very rich resource available for researching China in multiple aspects, including its political history, literature, and religion, as well as the biographies of famous personages, its culture, economic development and, of course, its geography and natural history.  Because of its varied content, organized to principles also varying from title to title, full-text search capabilities change the way they can be used. The titles included in this particular database (approximately 7,000 titles, 100,000 volumes) have for a large part been compiled using Optical Character Recognition. Because of this automated process, which occasionally produces errors, the 4,000 titles which overlap with the Zhongguo fang zhi ku database, are probably best used in the latter (with much stricter authority control.) However, the China Comprehensive Gazetteers database includes at least 2,000 additional full-text searchable titles.",8,5/19/2026 8:35pm
1098,Zhongguo fangzhi ku,中國方志庫,Local Gazetteers (Historical),https://www.wenzibase.com,Erudition (Airusheng),subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Local history,Full-text,Middle Period (220–1368)","When complete, this database will include more than 10,000 pre-modern local gazetteers in the broad sense—covering not only jurisdictional gazetteers but also gazetteers of temples, mountains, and other entities. The database supports full-text searching by region, title, or period while preserving the original form of the source, including maps and tables, displayed side by side with the text. Downloading and printing are possible; individual note-taking is not available. As of 2021, three sets of 2,000 titles each of the planned five parts have been completed. Published by Erudition (Airusheng).",9,5/19/2026 8:35pm
1099,China Multilingual Journals,,Magazines,http://www.chinamultilingual.com/,China Multilingual Journals,subscription,Princeton China Studies Research Guide,"Contemporary (post-1978),Early PRC (1949–1966),Full-text,Newspapers and periodicals","The CMJ (China Multilingual Journals) database includes journals published in China for foreign consumption: Qiushi (2009-, English), China Pictorial/ Ren min hua bao (1999-2006, English and Chinese), Jinmin Chūgoku (Japanese, 1953-2007), Beijing Review ( Peking Review ; English, German, French, Spanish, Chinese, 1958-), and China Today (English, German, French, Spanish, Chinese , 1952-2007). Images and news items can be searched for separate from articles.",7,5/19/2026 8:35pm
1100,Longyuan qikan wang (Dragonsource),龙源期刊网,Magazines,http://www.qikan.com/,Longyuan Digital Publishing,subscription,Princeton China Studies Research Guide,"Literature,Economy,Medicine,Contemporary (post-1978),Full-text,Newspapers and periodicals","Searchable database of current non-academic Chinese periodicals in literature, general culture, news and politics, popular science, economics and law, education, health and lifestyle, history and finance management. The database gives access to more than 3,000 titles, including Caixin-China Economics & Finance, VOGUE, Caijing, Sanlian Zhoukan, Zhongguo Zhoukan, Liaowang Dongfang Zhoukan, Wenwu Tiandi, ZhizuGQ .",7,5/19/2026 4:21pm
1101,Mingbao Yuekan,明報月刊,Magazines,http://www.mingpaomonthly.com/,Ming Pao Monthly,subscription,Princeton China Studies Research Guide,"Hong Kong,Literature,Contemporary (post-1978),Newspapers and periodicals,Cultural Revolution (1966–1976)","Ming Pao Monthly (明報月刊) is a long-running Hong Kong literary and cultural magazine founded in 1966 by novelist Louis Cha (Jin Yong). It has served as a major platform for Chinese intellectual discourse, publishing essays, criticism, creative writing, and commentary on mainland China, Hong Kong, and Taiwan. This electronic archive covers the magazine from 1966 to 2000, providing full-text access to over three decades of cultural and political commentary.",7,5/19/2026 10:46pm
1102,Mobilizing East Asia,,Newspapers,https://primarysources.brillonline.com/browse/mobilizing-east-asia-online,Brill,subscription,Princeton China Studies Research Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Manchuria,Full-text,Newspapers and periodicals,Colonialism,International relations","A tightly organized series of pivotal English-language newspapers, books and magazines reporting and commenting on developments in East and South-East Asia from the turn of the century to the early 1950s, showing the route from the first defeat of a major European power by an Asian nation to the calamitous defeat of that nation, Japan, systemic change in China and the onset of seismic upheaval in Asia. Materials, sourced from hard-to-find and in some cases unique originals, include Contemporary Japan , the Japan Advertiser Annual Review , the Japan News-Week , and the Shanghai-based Israel's Messenger . More material on Manchuria, including the Manchuria Daily News (1912-1940), is being added.There are gaps for many titles, some of which had only short runs, and therefore are difficult to find anywhere.",8,5/19/2026 10:46pm
1103,WisersOne (formerly WiseNews),慧科新闻,Newspapers,https://wisesearch.wisers.net/,Wisers Information Limited,subscription,Princeton China Studies Research Guide,"Hong Kong,Macau,Law,Economy,Medicine,International relations,Science and Technology,Newspapers and periodicals,Contemporary (post-1978),Taiwan","WisersOne (formerly WiseNews and WiseSearch) is a comprehensive news database covering Greater China, updated daily with content from over 1,500 sources including all major Chinese and English newspapers from Hong Kong, Taiwan, and mainland China, as well as newswires, magazines, and broadcast transcripts. The archive contains over 88 million articles from 1998 to the present, with national titles (Renmin ribao, 21 shiji jingji baodao), regional papers (Nanfang ribao, Yangcheng wanbao), Taiwan titles (Pingguo ribao, China Post), and Hong Kong papers (Mingbao, South China Morning Post). The platform offers full-text search by keyword, region, or title, and browse functions organized by themed topic folders covering finance, technology, public health, international relations, and mainland-Taiwan relations.",8,5/19/2026 10:46pm
1105,Chinese Civilization in Time and Space,中國與台灣歷史文化地圖,Maps and GIS,https://ccts.asdc.sinica.edu.tw/,Academia Sinica,open access,Princeton China Studies Research Guide,"Archaeology,Digital humanities,Local history,Historical archive,Early China (before 220 CE),Taiwan","Chinese Civilization in Time and Space (CCTS) is a Web-based GIS system developed by Academia Sinica's Center for Digital Cultures, integrating historical maps with full-text databases and place name databases covering China and Taiwan. The system includes historical map layers from Tan Qixiang's Zhongguo lishi dituji and the 1920s Shenbao atlas, with search functions for current and historical place names, gazetteers, and specialized thematic layers such as Han archaeological tomb sites. CCTS is particularly valuable for historical geography research, place-name verification, and integrating spatial and textual sources.

Personal registration is recommended for saving map sessions and printing. Enter the GIS system by clicking on ""Framework"" from the Home page, and then by clicking on ""Enter CCTS System."" Before first use, one needs to download two special plug-ins available there. The Web-based GIS system follows standard ArcView procedures. ",8,5/19/2026 10:46pm
1106,China Government Gazettes,中国政报公报期刊文献总库,Political Documents (Contemporary),https://zhengbao.oversea.cnki.net/index?sysid=23,CNKI (China National Knowledge Infrastructure),subscription,Princeton China Studies Research Guide,"Contemporary (post-1978),Economy,Science and Technology,Law and Government,Full-text","A collection of political newspapers, bulletins, announcements, regulations, proclamations, government reports, white papers, and leader speeches from Chinese central and local government publications. Subjects covered include politics, law, military and national defense, rural management and agriculture, industry, transportation, finance, education, science and technology, and tourism. In Chinese, 1979-present",7,5/19/2026 10:46pm
1107,National People's Congress Database (PRC),全国人大资料信息库,Political Documents (Contemporary),https://www.oriprobe.com/npc.shtml,Oriprobe,subscription,Princeton China Studies Research Guide,"Early PRC (1949–1966),Contemporary (post-1978),Law and Government,Full-text,Historical archive","The National People's Congress (NPC) database of the People's Republic of China is a comprehensive collection of archives and documents of the National People’s Congress, from the 1st Session of 1st NPC to present. The collection includes: Deputy Lists, Agendas, Conference Updates, Documents and Reports, Resolutions and Statements, Leaders’ Activities, Selected Proposals, Suggestions of the Deputies, News Reports, Pictures, Press Conferences, Important Commentaries, Video Reports, etc. With complete, full-spectrum contents, it’s an authoritative database of NPC agendas, topics, resolutions and related reports. Coverage is from the 1st NPC onward; it includes text, photos and videos, and is updated regularly. The database works best with the Chrome browser.",8,5/19/2026 10:46pm
1108,Party and Government Documents in English (PR of China),,Political Documents (Contemporary),https://gcs.plus.oriprobe.com/PGDiE,Oriprobe,subscription,Princeton China Studies Research Guide,"Cultural Revolution (1966–1976),Contemporary (post-1978),International relations,Translation,Full-text,Early PRC (1949–1966)","The Party and Government Documents in English (PGDiE) is a unique collection of official documents in English, covering various levels of Chinese government, Communist Party of China (CPC) and National People's Congress (NPC) from authoritative sources from 1921 onwards. Featured contents include documents on the Great Proletarian Cultural Revolution; the Taiwan Question, the National Congress of the CPC, Five-year plans, The First session of the First National People's Congress, reports on the Work of the Government, government communiqués, government White Papers, and Policies and Activities of the Foreign Ministry. The White Papers include also documents in other languages than English (Chinese, French, Spanish, Italian, and Portuguese.) Some of the English material is machine-translated.",7,5/19/2026 10:46pm
